id,sex,username,password,email,phone,face_url,grade,department
211706001,男,中二#103,202cb962ac59075b964b07152d234b70,123450001@mail.com,17720760001,,2017,计算机工程系
211706002,男,中二#104,202cb962ac59075b964b07152d234b70,123450002@mail.com,17720760002,,2017,计算机工程系
211706003,男,中二#105,202cb962ac59075b964b07152d234b70,123450003@mail.com,17720760003,,2017,计算机工程系
211706004,男,中二#106,202cb962ac59075b964b07152d234b70,123450004@mail.com,17720760004,,2017,计算机工程系
211706005,男,中二#107,202cb962ac59075b964b07152d234b70,123450005@mail.com,17720760005,,2017,计算机工程系
211706006,男,中二#108,202cb962ac59075b964b07152d234b70,123450006@mail.com,17720760006,,2017,计算机工程系
211706007,男,中二#111,202cb962ac59075b964b07152d234b70,123450007@mail.com,17720760007,,2017,计算机工程系
211706008,男,中二#112,202cb962ac59075b964b07152d234b70,123450008@mail.com,17720760008,,2017,计算机工程系
211706009,男,中二#113,202cb962ac59075b964b07152d234b70,123450009@mail.com,17720760009,,2017,计算机工程系
211706010,男,中二#114,202cb962ac59075b964b07152d234b70,123450010@mail.com,17720760010,,2017,计算机工程系
211706011,男,中二#115,202cb962ac59075b964b07152d234b70,123450011@mail.com,17720760011,,2017,计算机工程系
211706012,男,中二#116,202cb962ac59075b964b07152d234b70,123450012@mail.com,17720760012,,2017,计算机工程系
211706013,男,中二#117,202cb962ac59075b964b07152d234b70,123450013@mail.com,17720760013,,2017,计算机工程系
211706014,男,中二#118,202cb962ac59075b964b07152d234b70,123450014@mail.com,17720760014,,2017,计算机工程系
211706015,男,中二#119,202cb962ac59075b964b07152d234b70,123450015@mail.com,17720760015,,2017,计算机工程系
211706016,男,中二#120,202cb962ac59075b964b07152d234b70,123450016@mail.com,17720760016,,2017,计算机工程系
211706017,男,中二#121,202cb962ac59075b964b07152d234b70,123450017@mail.com,17720760017,,2017,计算机工程系
211706018,男,中二#122,202cb962ac59075b964b07152d234b70,123450018@mail.com,17720760018,,2017,计算机工程系
211706019,男,中二#123,202cb962ac59075b964b07152d234b70,123450019@mail.com,17720760019,,2017,计算机工程系
211706020,男,中二#201,202cb962ac59075b964b07152d234b70,123450020@mail.com,17720760020,,2017,计算机工程系
211706021,男,中二#202,202cb962ac59075b964b07152d234b70,123450021@mail.com,17720760021,,2017,计算机工程系
211706022,男,中二#203,202cb962ac59075b964b07152d234b70,123450022@mail.com,17720760022,,2017,计算机工程系
211706023,男,中二#204,202cb962ac59075b964b07152d234b70,123450023@mail.com,17720760023,,2017,计算机工程系
